date,region,type_name,sum,mean,min,max
2024-09-08T00,MISO,Coal,18029.0,18029.0,18029.0,18029.0
2024-09-08T00,MISO,Hydro,2530.0,2530.0,2530.0,2530.0
2024-09-08T00,MISO,Natural Gas,27819.0,27819.0,27819.0,27819.0
2024-09-08T00,MISO,Nuclear,11670.0,11670.0,11670.0,11670.0
2024-09-08T00,MISO,Solar,2102.0,2102.0,2102.0,2102.0
2024-09-08T00,MISO,Wind,2171.0,2171.0,2171.0,2171.0
2024-09-08T00,PJM,Coal,7980.0,7980.0,7980.0,7980.0
2024-09-08T00,PJM,Hydro,3436.0,3436.0,3436.0,3436.0
2024-09-08T00,PJM,Natural Gas,42772.0,42772.0,42772.0,42772.0
2024-09-08T00,PJM,Nuclear,31803.0,31803.0,31803.0,31803.0
2024-09-08T00,PJM,Solar,14.0,14.0,14.0,14.0
2024-09-08T00,PJM,Wind,2625.0,2625.0,2625.0,2625.0
2024-09-08T01,MISO,Coal,19380.0,19380.0,19380.0,19380.0
2024-09-08T01,MISO,Hydro,2512.0,2512.0,2512.0,2512.0
2024-09-08T01,MISO,Natural Gas,28001.0,28001.0,28001.0,28001.0
2024-09-08T01,MISO,Nuclear,11673.0,11673.0,11673.0,11673.0
2024-09-08T01,MISO,Solar,64.0,64.0,64.0,64.0
2024-09-08T01,MISO,Wind,2619.0,2619.0,2619.0,2619.0
2024-09-08T01,PJM,Coal,7676.0,7676.0,7676.0,7676.0
2024-09-08T01,PJM,Hydro,1620.0,1620.0,1620.0,1620.0
2024-09-08T01,PJM,Natural Gas,41936.0,41936.0,41936.0,41936.0
2024-09-08T01,PJM,Nuclear,31783.0,31783.0,31783.0,31783.0
2024-09-08T01,PJM,Solar,14.0,14.0,14.0,14.0
2024-09-08T01,PJM,Wind,2493.0,2493.0,2493.0,2493.0
2024-09-08T02,MISO,Coal,18520.0,18520.0,18520.0,18520.0
2024-09-08T02,MISO,Hydro,2151.0,2151.0,2151.0,2151.0
2024-09-08T02,MISO,Natural Gas,27378.0,27378.0,27378.0,27378.0
2024-09-08T02,MISO,Nuclear,11673.0,11673.0,11673.0,11673.0
2024-09-08T02,MISO,Wind,4137.0,4137.0,4137.0,4137.0
2024-09-08T02,PJM,Coal,7436.0,7436.0,7436.0,7436.0
2024-09-08T02,PJM,Hydro,480.0,480.0,480.0,480.0
2024-09-08T02,PJM,Natural Gas,40000.0,40000.0,40000.0,40000.0
2024-09-08T02,PJM,Nuclear,31458.0,31458.0,31458.0,31458.0
2024-09-08T02,PJM,Solar,14.0,14.0,14.0,14.0
2024-09-08T02,PJM,Wind,2500.0,2500.0,2500.0,2500.0
2024-09-08T03,MISO,Coal,16768.0,16768.0,16768.0,16768.0
2024-09-08T03,MISO,Hydro,1076.0,1076.0,1076.0,1076.0
2024-09-08T03,MISO,Natural Gas,26052.0,26052.0,26052.0,26052.0
2024-09-08T03,MISO,Nuclear,11632.0,11632.0,11632.0,11632.0
2024-09-08T03,MISO,Wind,6044.0,6044.0,6044.0,6044.0
