date,region,fuel_type,type_name,total_generation,units
2024-10-08T00,MISO,COL,Coal,24605.0,megawatthours
2024-10-08T00,MISO,NG,Natural Gas,36504.0,megawatthours
2024-10-08T00,MISO,NUC,Nuclear,10110.0,megawatthours
2024-10-08T00,MISO,SUN,Solar,281.0,megawatthours
2024-10-08T00,MISO,WAT,Hydro,2122.0,megawatthours
2024-10-08T00,MISO,WND,Wind,1886.0,megawatthours
2024-10-08T00,PJM,COL,Coal,12312.0,megawatthours
2024-10-08T00,PJM,NG,Natural Gas,39052.0,megawatthours
2024-10-08T00,PJM,NUC,Nuclear,30510.0,megawatthours
2024-10-08T00,PJM,SUN,Solar,45.0,megawatthours
2024-10-08T00,PJM,WAT,Hydro,2332.0,megawatthours
2024-10-08T00,PJM,WND,Wind,2028.0,megawatthours
2024-10-07T23,MISO,COL,Coal,23623.0,megawatthours
2024-10-07T23,MISO,NG,Natural Gas,35547.0,megawatthours
2024-10-07T23,MISO,NUC,Nuclear,10106.0,megawatthours
2024-10-07T23,MISO,SUN,Solar,3286.0,megawatthours
2024-10-07T23,MISO,WAT,Hydro,2138.0,megawatthours
2024-10-07T23,MISO,WND,Wind,1866.0,megawatthours
2024-10-07T23,PJM,COL,Coal,12481.0,megawatthours
2024-10-07T23,PJM,NG,Natural Gas,40562.0,megawatthours
2024-10-07T23,PJM,NUC,Nuclear,30489.0,megawatthours
2024-10-07T23,PJM,SUN,Solar,28.0,megawatthours
2024-10-07T23,PJM,WAT,Hydro,2678.0,megawatthours
2024-10-07T23,PJM,WND,Wind,1552.0,megawatthours
2024-10-07T22,MISO,COL,Coal,22682.0,megawatthours
2024-10-07T22,MISO,NG,Natural Gas,33748.0,megawatthours
2024-10-07T22,MISO,NUC,Nuclear,10102.0,megawatthours
2024-10-07T22,MISO,SUN,Solar,6444.0,megawatthours
2024-10-07T22,MISO,WAT,Hydro,1566.0,megawatthours
2024-10-07T22,MISO,WND,Wind,2186.0,megawatthours
2024-10-07T22,PJM,COL,Coal,12025.0,megawatthours
2024-10-07T22,PJM,NG,Natural Gas,39832.0,megawatthours
2024-10-07T22,PJM,NUC,Nuclear,30457.0,megawatthours
2024-10-07T22,PJM,SUN,Solar,601.0,megawatthours
2024-10-07T22,PJM,WAT,Hydro,2591.0,megawatthours
2024-10-07T22,PJM,WND,Wind,1588.0,megawatthours
2024-10-07T21,MISO,COL,Coal,23153.0,megawatthours
2024-10-07T21,MISO,NG,Natural Gas,32554.0,megawatthours
2024-10-07T21,MISO,NUC,Nuclear,10101.0,megawatthours
2024-10-07T21,MISO,SUN,Solar,7347.0,megawatthours
2024-10-07T21,MISO,WAT,Hydro,513.0,megawatthours
2024-10-07T21,MISO,WND,Wind,2152.0,megawatthours
2024-10-07T21,PJM,COL,Coal,11141.0,megawatthours
2024-10-07T21,PJM,NG,Natural Gas,38516.0,megawatthours
2024-10-07T21,PJM,NUC,Nuclear,30416.0,megawatthours
2024-10-07T21,PJM,SUN,Solar,3487.0,megawatthours
2024-10-07T21,PJM,WAT,Hydro,2539.0,megawatthours
2024-10-07T21,PJM,WND,Wind,1745.0,megawatthours
2024-10-07T20,MISO,COL,Coal,23173.0,megawatthours
2024-10-07T20,MISO,NG,Natural Gas,32110.0,megawatthours
2024-10-07T20,MISO,NUC,Nuclear,10099.0,megawatthours
2024-10-07T20,MISO,SUN,Solar,7151.0,megawatthours
2024-10-07T20,MISO,WND,Wind,1968.0,megawatthours
2024-10-07T20,PJM,COL,Coal,10755.0,megawatthours
2024-10-07T20,PJM,NG,Natural Gas,36189.0,megawatthours
2024-10-07T20,PJM,NUC,Nuclear,30293.0,megawatthours
2024-10-07T20,PJM,SUN,Solar,5596.0,megawatthours
2024-10-07T20,PJM,WAT,Hydro,2000.0,megawatthours
2024-10-07T20,PJM,WND,Wind,1804.0,megawatthours
2024-10-07T19,MISO,COL,Coal,23084.0,megawatthours
2024-10-07T19,MISO,NG,Natural Gas,31473.0,megawatthours
2024-10-07T19,MISO,NUC,Nuclear,10098.0,megawatthours
2024-10-07T19,MISO,SUN,Solar,7282.0,megawatthours
2024-10-07T19,MISO,WAT,Hydro,500.0,megawatthours
2024-10-07T19,MISO,WND,Wind,1927.0,megawatthours
2024-10-07T19,PJM,COL,Coal,10162.0,megawatthours
2024-10-07T19,PJM,NG,Natural Gas,35987.0,megawatthours
2024-10-07T19,PJM,NUC,Nuclear,30172.0,megawatthours
2024-10-07T19,PJM,SUN,Solar,6044.0,megawatthours
2024-10-07T19,PJM,WAT,Hydro,1572.0,megawatthours
2024-10-07T19,PJM,WND,Wind,1748.0,megawatthours
2024-10-07T18,MISO,COL,Coal,22670.0,megawatthours
2024-10-07T18,MISO,NG,Natural Gas,30595.0,megawatthours
2024-10-07T18,MISO,NUC,Nuclear,10109.0,megawatthours
2024-10-07T18,MISO,SUN,Solar,7219.0,megawatthours
2024-10-07T18,MISO,WND,Wind,1781.0,megawatthours
2024-10-07T18,PJM,COL,Coal,9995.0,megawatthours
2024-10-07T18,PJM,NG,Natural Gas,36830.0,megawatthours
