datetime,respondent_code,respondent_name,fuel_type,type_name,value,units
2022-10-27 00:00:00,NE,New England,WND,Wind,292,megawatthours
2022-10-27 01:00:00,NE,New England,WND,Wind,242,megawatthours
2022-10-27 02:00:00,NE,New England,WND,Wind,237,megawatthours
2022-10-27 03:00:00,NE,New England,WND,Wind,221,megawatthours
2022-10-27 04:00:00,NE,New England,WND,Wind,269,megawatthours
2022-10-27 05:00:00,NE,New England,WND,Wind,330,megawatthours
2022-10-27 06:00:00,NE,New England,WND,Wind,400,megawatthours
2022-10-27 07:00:00,NE,New England,WND,Wind,506,megawatthours
2022-10-27 08:00:00,NE,New England,WND,Wind,568,megawatthours
2022-10-27 09:00:00,NE,New England,WND,Wind,693,megawatthours
2022-10-27 10:00:00,NE,New England,WND,Wind,743,megawatthours
2022-10-27 11:00:00,NE,New England,WND,Wind,798,megawatthours
2022-10-27 12:00:00,NE,New England,WND,Wind,899,megawatthours
2022-10-27 13:00:00,NE,New England,WND,Wind,910,megawatthours
2022-10-27 14:00:00,NE,New England,WND,Wind,881,megawatthours
2022-10-27 15:00:00,NE,New England,WND,Wind,907,megawatthours
2022-10-27 16:00:00,NE,New England,WND,Wind,952,megawatthours
2022-10-27 17:00:00,NE,New England,WND,Wind,958,megawatthours
2022-10-27 18:00:00,NE,New England,WND,Wind,1014,megawatthours
2022-10-27 19:00:00,NE,New England,WND,Wind,995,megawatthours
2022-10-27 20:00:00,NE,New England,WND,Wind,1010,megawatthours
2022-10-27 21:00:00,NE,New England,WND,Wind,988,megawatthours
2022-10-27 22:00:00,NE,New England,WND,Wind,969,megawatthours
2022-10-27 23:00:00,NE,New England,WND,Wind,959,megawatthours
2022-10-28 00:00:00,NE,New England,WND,Wind,920,megawatthours
2022-10-28 01:00:00,NE,New England,WND,Wind,831,megawatthours
2022-10-28 02:00:00,NE,New England,WND,Wind,788,megawatthours
2022-10-28 03:00:00,NE,New England,WND,Wind,784,megawatthours
2022-10-28 04:00:00,NE,New England,WND,Wind,772,megawatthours
2022-10-28 05:00:00,NE,New England,WND,Wind,692,megawatthours
2022-10-28 06:00:00,NE,New England,WND,Wind,748,megawatthours
2022-10-28 07:00:00,NE,New England,WND,Wind,654,megawatthours
2022-10-28 08:00:00,NE,New England,WND,Wind,553,megawatthours
2022-10-28 09:00:00,NE,New England,WND,Wind,547,megawatthours
2022-10-28 10:00:00,NE,New England,WND,Wind,553,megawatthours
2022-10-28 11:00:00,NE,New England,WND,Wind,459,megawatthours
2022-10-28 12:00:00,NE,New England,WND,Wind,374,megawatthours
2022-10-28 13:00:00,NE,New England,WND,Wind,270,megawatthours
2022-10-28 14:00:00,NE,New England,WND,Wind,174,megawatthours
2022-10-28 15:00:00,NE,New England,WND,Wind,162,megawatthours
2022-10-28 16:00:00,NE,New England,WND,Wind,93,megawatthours
2022-10-28 17:00:00,NE,New England,WND,Wind,66,megawatthours
2022-10-28 18:00:00,NE,New England,WND,Wind,40,megawatthours
2022-10-28 19:00:00,NE,New England,WND,Wind,30,megawatthours
2022-10-28 20:00:00,NE,New England,WND,Wind,24,megawatthours
2022-10-28 21:00:00,NE,New England,WND,Wind,20,megawatthours
2022-10-28 22:00:00,NE,New England,WND,Wind,21,megawatthours
2022-10-28 23:00:00,NE,New England,WND,Wind,26,megawatthours
2022-10-29 00:00:00,NE,New England,WND,Wind,32,megawatthours
2022-10-29 01:00:00,NE,New England,WND,Wind,41,megawatthours
2022-10-29 02:00:00,NE,New England,WND,Wind,52,megawatthours
2022-10-29 03:00:00,NE,New England,WND,Wind,60,megawatthours
2022-10-29 04:00:00,NE,New England,WND,Wind,62,megawatthours
2022-10-29 05:00:00,NE,New England,WND,Wind,58,megawatthours
2022-10-29 06:00:00,NE,New England,WND,Wind,78,megawatthours
2022-10-29 07:00:00,NE,New England,WND,Wind,94,megawatthours
2022-10-29 08:00:00,NE,New England,WND,Wind,141,megawatthours
2022-10-29 09:00:00,NE,New England,WND,Wind,190,megawatthours
2022-10-29 10:00:00,NE,New England,WND,Wind,201,megawatthours
2022-10-29 11:00:00,NE,New England,WND,Wind,209,megawatthours
2022-10-29 12:00:00,NE,New England,WND,Wind,206,megawatthours
2022-10-29 13:00:00,NE,New England,WND,Wind,178,megawatthours
2022-10-29 14:00:00,NE,New England,WND,Wind,162,megawatthours
2022-10-29 15:00:00,NE,New England,WND,Wind,123,megawatthours
2022-10-29 16:00:00,NE,New England,WND,Wind,89,megawatthours
2022-10-29 17:00:00,NE,New England,WND,Wind,79,megawatthours
2022-10-29 18:00:00,NE,New England,WND,Wind,77,megawatthours
2022-10-29 19:00:00,NE,New England,WND,Wind,82,megawatthours
2022-10-29 20:00:00,NE,New England,WND,Wind,94,megawatthours
2022-10-29 21:00:00,NE,New England,WND,Wind,111,megawatthours
2022-10-29 22:00:00,NE,New England,WND,Wind,194,megawatthours
2022-10-29 23:00:00,NE,New England,WND,Wind,381,megawatthours
2022-10-30 00:00:00,NE,New England,WND,Wind,464,megawatthours
2022-10-30 01:00:00,NE,New England,WND,Wind,483,megawatthours
2022-10-30 02:00:00,NE,New England,WND,Wind,512,megawatthours
2022-10-30 03:00:00,NE,New England,WND,Wind,538,megawatthours
2022-10-30 04:00:00,NE,New England,WND,Wind,595,megawatthours
2022-10-30 05:00:00,NE,New England,WND,Wind,597,megawatthours
