datetime,region,Demand,Net Generation
2022-10-27 00:00:00,NE,14196,12976
2022-10-27 01:00:00,NE,13633,12296
2022-10-27 02:00:00,NE,12792,11228
2022-10-27 03:00:00,NE,11751,9952
2022-10-27 04:00:00,NE,10804,8801
2022-10-27 05:00:00,NE,10413,8503
2022-10-27 06:00:00,NE,9992,7983
2022-10-27 07:00:00,NE,9932,7964
2022-10-27 08:00:00,NE,9880,8230
2022-10-27 09:00:00,NE,9937,8449
2022-10-27 10:00:00,NE,10408,8544
2022-10-27 11:00:00,NE,11772,9895
2022-10-27 12:00:00,NE,12508,10552
2022-10-27 13:00:00,NE,12299,10368
2022-10-27 14:00:00,NE,11510,9935
2022-10-27 15:00:00,NE,10939,10023
2022-10-27 16:00:00,NE,10473,9758
2022-10-27 17:00:00,NE,10341,9702
2022-10-27 18:00:00,NE,10549,9915
2022-10-27 19:00:00,NE,10789,10023
2022-10-27 20:00:00,NE,11372,10486
2022-10-27 21:00:00,NE,12192,10589
2022-10-27 22:00:00,NE,13295,11501
2022-10-27 23:00:00,NE,13831,11947
2022-10-28 00:00:00,NE,13552,11766
2022-10-28 01:00:00,NE,12981,11056
2022-10-28 02:00:00,NE,12212,10238
2022-10-28 03:00:00,NE,11265,9321
2022-10-28 04:00:00,NE,10630,9083
2022-10-28 05:00:00,NE,10008,8511
2022-10-28 06:00:00,NE,9879,8431
2022-10-28 07:00:00,NE,10009,8373
2022-10-28 08:00:00,NE,9829,8076
2022-10-28 09:00:00,NE,9914,8388
2022-10-28 10:00:00,NE,10631,9130
2022-10-28 11:00:00,NE,11933,10697
2022-10-28 12:00:00,NE,12871,11652
2022-10-28 13:00:00,NE,12571,11263
2022-10-28 14:00:00,NE,11682,10486
2022-10-28 15:00:00,NE,10986,10107
2022-10-28 16:00:00,NE,10506,9849
2022-10-28 17:00:00,NE,10441,10053
2022-10-28 18:00:00,NE,10430,9831
2022-10-28 19:00:00,NE,10513,9654
2022-10-28 20:00:00,NE,10999,10153
2022-10-28 21:00:00,NE,12045,11083
2022-10-28 22:00:00,NE,13213,12072
2022-10-28 23:00:00,NE,13746,12420
2022-10-29 00:00:00,NE,13465,12127
2022-10-29 01:00:00,NE,13006,11688
2022-10-29 02:00:00,NE,12399,11127
2022-10-29 03:00:00,NE,11599,10200
2022-10-29 04:00:00,NE,10809,9447
2022-10-29 05:00:00,NE,10218,8737
2022-10-29 06:00:00,NE,9854,8279
2022-10-29 07:00:00,NE,9671,8044
2022-10-29 08:00:00,NE,9630,7921
2022-10-29 09:00:00,NE,9768,8124
2022-10-29 10:00:00,NE,10160,8741
2022-10-29 11:00:00,NE,10865,9593
2022-10-29 12:00:00,NE,11616,10179
2022-10-29 13:00:00,NE,11599,10036
2022-10-29 14:00:00,NE,10685,9407
2022-10-29 15:00:00,NE,10287,9413
2022-10-29 16:00:00,NE,10057,9265
2022-10-29 17:00:00,NE,9905,9329
2022-10-29 18:00:00,NE,9790,9156
2022-10-29 19:00:00,NE,10059,9031
2022-10-29 20:00:00,NE,10623,9562
2022-10-29 21:00:00,NE,11157,9724
