time,temperature,dwpt,humidity,precipitation,snow,wdir,windspeed,wpgt,pres,tsun,cloudcover,location
2022-10-27 00:00:00,15.0,15.0,100.0,0.0,,150.0,7.6,,1006.3,,5.0,Boston
2022-10-27 01:00:00,15.6,15.6,100.0,0.0,,200.0,5.4,,1006.7,,5.0,Boston
2022-10-27 02:00:00,15.6,15.6,100.0,0.0,,200.0,5.4,,1006.7,,5.0,Boston
2022-10-27 03:00:00,17.2,17.2,100.0,0.0,,200.0,7.6,,1006.6,,5.0,Boston
2022-10-27 04:00:00,16.1,16.1,100.0,0.0,,170.0,13.0,,1006.3,,4.0,Boston
2022-10-27 05:00:00,17.2,16.7,97.0,0.0,,220.0,20.5,,1007.0,,4.0,Boston
2022-10-27 06:00:00,16.7,16.1,96.0,0.0,,240.0,14.8,,1007.5,,3.0,Boston
2022-10-27 07:00:00,17.2,15.5,90.0,0.0,,260.0,20.5,,1008.4,,3.0,Boston
2022-10-27 08:00:00,17.2,14.5,84.0,0.0,,260.0,20.5,,1009.3,,2.0,Boston
2022-10-27 09:00:00,17.2,14.5,84.0,0.0,,280.0,22.3,,1009.3,,2.0,Boston
2022-10-27 10:00:00,16.1,12.3,78.0,0.0,,280.0,18.4,,1011.0,,7.0,Boston
2022-10-27 11:00:00,16.7,12.8,78.0,0.0,,280.0,20.5,,1012.2,,2.0,Boston
2022-10-27 12:00:00,16.7,14.3,86.0,0.0,,280.0,22.3,,1013.6,,2.0,Boston
2022-10-27 13:00:00,16.7,14.3,86.0,0.0,,280.0,22.3,,1013.6,,2.0,Boston
2022-10-27 14:00:00,18.9,11.7,63.0,0.0,,290.0,22.3,,1015.3,,2.0,Boston
2022-10-27 15:00:00,19.4,9.3,52.0,0.0,,320.0,25.9,,1016.2,,7.0,Boston
2022-10-27 16:00:00,19.4,9.3,52.0,0.0,,290.0,29.5,,1016.2,,2.0,Boston
2022-10-27 17:00:00,18.9,5.0,40.0,0.0,,340.0,31.7,,1017.6,,2.0,Boston
2022-10-27 18:00:00,18.9,5.0,40.0,0.0,,320.0,31.7,,1017.6,,2.0,Boston
2022-10-27 19:00:00,17.8,1.7,34.0,0.0,,320.0,31.7,,1019.6,,7.0,Boston
2022-10-27 20:00:00,17.2,1.6,35.0,0.0,,310.0,29.5,,1020.8,,2.0,Boston
2022-10-27 21:00:00,15.6,1.7,39.0,0.0,,340.0,18.4,,1022.2,,2.0,Boston
2022-10-27 22:00:00,15.6,1.7,39.0,0.0,,340.0,18.4,,1022.2,,2.0,Boston
2022-10-27 23:00:00,15.0,1.8,41.0,0.0,,340.0,18.4,,1024.0,,2.0,Boston
2022-10-28 00:00:00,12.2,1.2,47.0,0.0,,340.0,20.5,,1026.1,,1.0,Boston
2022-10-28 01:00:00,10.6,-0.5,46.0,0.0,,340.0,20.5,,1027.1,,1.0,Boston
