time,temperature,dwpt,humidity,precipitation,snow,wdir,windspeed,wpgt,pres,tsun,cloudcover,location
2024-10-26 20:00:00-04:00,14.0,-1.6,34.0,0.0,,330.0,13.0,,1025.0,,2.0,Philadelphia
2024-10-26 21:00:00-04:00,13.3,-1.9,35.0,0.0,,320.0,9.4,,1025.6,,2.0,Philadelphia
2024-10-26 22:00:00-04:00,12.2,-1.0,40.0,0.0,,320.0,9.4,,1026.6,,2.0,Philadelphia
2024-10-26 23:00:00-04:00,11.1,-1.0,43.0,0.0,,330.0,9.4,,1027.2,,2.0,Philadelphia
2024-10-27 00:00:00-04:00,11.0,-0.8,44.0,0.0,,350.0,15.0,,1028.0,,2.0,Philadelphia
2024-10-27 01:00:00-04:00,10.6,-0.5,46.0,0.0,,360.0,20.5,,1028.0,,2.0,Philadelphia
2024-10-27 02:00:00-04:00,9.4,-1.1,48.0,0.0,,360.0,18.4,,1028.2,,2.0,Philadelphia
2024-10-27 03:00:00-04:00,8.3,-1.0,52.0,0.0,,360.0,13.0,,1028.4,,2.0,Philadelphia
2024-10-27 04:00:00-04:00,8.3,-1.0,52.0,0.0,,20.0,13.0,,1028.8,,2.0,Philadelphia
2024-10-27 05:00:00-04:00,7.0,-1.4,55.0,0.0,,360.0,9.0,,1030.0,,2.0,Philadelphia
2024-10-27 06:00:00-04:00,7.2,-1.0,56.0,0.0,,360.0,7.6,,1030.1,,2.0,Philadelphia
2024-10-27 07:00:00-04:00,6.1,-1.1,60.0,0.0,,350.0,7.6,,1030.7,,2.0,Philadelphia
2024-10-27 08:00:00-04:00,8.9,0.1,54.0,0.0,,360.0,13.0,,1031.0,,2.0,Philadelphia
2024-10-27 09:00:00-04:00,10.0,-0.5,48.0,0.0,,10.0,19.0,,1031.0,,2.0,Philadelphia
2024-10-27 10:00:00-04:00,11.1,-1.7,41.0,0.0,,360.0,16.6,,1030.8,,2.0,Philadelphia
2024-10-27 11:00:00-04:00,12.2,-1.7,38.0,0.0,,10.0,14.8,,1030.6,,2.0,Philadelphia
2024-10-27 12:00:00-04:00,13.3,-4.4,29.0,0.0,,320.0,11.2,,1029.8,,2.0,Philadelphia
